ensembl_gene_id,regulator_class,ec_codes,go_terms,chen_nonprotein,in_structural_catalog,supplementary_support,go_experimental_protein,catalytic_status
ENSG00000178607,kinase,"""3.1.26.-|2.7.11.1""",GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000134398,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000177706,kinase,2.7.11.1,,FALSE,FALSE,TRUE,FALSE,active
ENSG00000164896,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000151422,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000182511,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000077782,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000066468,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000068078,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000160867,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000127418,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000000938,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000179431,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000102755,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000122025,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000037280,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000111816,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000010810,kinase,,GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000178950,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000185974,kinase,2.7.11.14,,FALSE,TRUE,TRUE,FALSE,active
ENSG00000173020,kinase,2.7.11.15,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000100077,kinase,2.7.11.15,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000125388,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000198873,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000198055,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000114124,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000105723,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
